color,confidence,from,id,label,title,to,type
#555555,1.0,concepts/AIProviderFactoryPattern,concepts/AIProviderFactoryPattern->concepts/PaymentFactoryPattern:EXTRACTED,,,concepts/PaymentFactoryPattern,EXTRACTED
#555555,1.0,concepts/AIProviderFactoryPattern,concepts/AIProviderFactoryPattern->concepts/MultiAgentCoordinationArchitecture:EXTRACTED,,,concepts/MultiAgentCoordinationArchitecture,EXTRACTED
#555555,1.0,concepts/AIProviderFactoryPattern,concepts/AIProviderFactoryPattern->concepts/AIRequestOptimization:EXTRACTED,,,concepts/AIRequestOptimization,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->sources/ai-intelligent-analysis-system:EXTRACTED,,,sources/ai-intelligent-analysis-system,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->entities/AIRequestOptimizer:EXTRACTED,,,entities/AIRequestOptimizer,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->entities/AsyncClientPool:EXTRACTED,,,entities/AsyncClientPool,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->entities/RateLimiting:EXTRACTED,,,entities/RateLimiting,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->concepts/CacheManagement:EXTRACTED,,,concepts/CacheManagement,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->concepts/TaskScheduling:EXTRACTED,,,concepts/TaskScheduling,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/AIRequestOptimization,concepts/AIRequestOptimization->concepts/ConfigurationManagement:EXTRACTED,,,concepts/ConfigurationManagement,EXTRACTED
#555555,1.0,concepts/AlertSystem,concepts/AlertSystem->entities/NotificationService:EXTRACTED,,,entities/NotificationService,EXTRACTED
#555555,1.0,concepts/AlertSystem,concepts/AlertSystem->entities/MainFundSelection:EXTRACTED,,,entities/MainFundSelection,EXTRACTED
#555555,1.0,concepts/AlertSystem,concepts/AlertSystem->concepts/EventDriven:EXTRACTED,,,concepts/EventDriven,EXTRACTED
#555555,1.0,concepts/AlertSystem,concepts/AlertSystem->entities/EventDriven:EXTRACTED,,,entities/EventDriven,EXTRACTED
#555555,1.0,concepts/AttentionMechanism,concepts/AttentionMechanism->concepts/Transformer:EXTRACTED,,,concepts/Transformer,EXTRACTED
#555555,1.0,concepts/AttentionMechanism,concepts/AttentionMechanism->entities/DeepLearning:EXTRACTED,,,entities/DeepLearning,EXTRACTED
#555555,1.0,concepts/A股手续费模型,concepts/A股手续费模型->sources/backtest-engine:EXTRACTED,,,sources/backtest-engine,EXTRACTED
#555555,1.0,concepts/Backtesting,concepts/Backtesting->sources/main-fund-selection-system:EXTRACTED,,,sources/main-fund-selection-system,EXTRACTED
#555555,1.0,concepts/Backtesting,concepts/Backtesting->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/Backtesting,concepts/Backtesting->concepts/QuantitativeAnalysis:EXTRACTED,,,concepts/QuantitativeAnalysis,EXTRACTED
#555555,1.0,concepts/Backtesting,concepts/Backtesting->entities/QuantitativeAnalysis:EXTRACTED,,,entities/QuantitativeAnalysis,EXTRACTED
#555555,1.0,concepts/BehavioralCollectorPattern,concepts/BehavioralCollectorPattern->sources/user-profile-system:EXTRACTED,,,sources/user-profile-system,EXTRACTED
#555555,1.0,concepts/BehavioralCollectorPattern,concepts/BehavioralCollectorPattern->concepts/UserProfiling:EXTRACTED,,,concepts/UserProfiling,EXTRACTED
#555555,1.0,concepts/BehavioralCollectorPattern,concepts/BehavioralCollectorPattern->concepts/DataPipeline:EXTRACTED,,,concepts/DataPipeline,EXTRACTED
#555555,1.0,concepts/BuildSystemWithFeatureFlags,concepts/BuildSystemWithFeatureFlags->entities/ClaudeCode:EXTRACTED,,,entities/ClaudeCode,EXTRACTED
#555555,1.0,concepts/CacheManagement,concepts/CacheManagement->sources/task-scheduler-and-infrastructure:EXTRACTED,,,sources/task-scheduler-and-infrastructure,EXTRACTED
#555555,1.0,concepts/CacheManagement,concepts/CacheManagement->entities/Redis:EXTRACTED,,,entities/Redis,EXTRACTED
#555555,1.0,concepts/CacheManagement,concepts/CacheManagement->entities/MainFundSelection:EXTRACTED,,,entities/MainFundSelection,EXTRACTED
#555555,1.0,concepts/CacheManagement,concepts/CacheManagement->entities/APScheduler:EXTRACTED,,,entities/APScheduler,EXTRACTED
#555555,1.0,concepts/CacheManagement,concepts/CacheManagement->entities/RateLimiting:EXTRACTED,,,entities/RateLimiting,EXTRACTED
#555555,1.0,concepts/CacheManagement,concepts/CacheManagement->entities/A股市场:EXTRACTED,,,entities/A股市场,EXTRACTED
#555555,1.0,concepts/ChainOfThought,concepts/ChainOfThought->concepts/InferenceScalingReasoning:EXTRACTED,,,concepts/InferenceScalingReasoning,EXTRACTED
#555555,1.0,concepts/ChainOfThought,concepts/ChainOfThought->entities/o1:EXTRACTED,,,entities/o1,EXTRACTED
#555555,1.0,concepts/ChainOfThought,concepts/ChainOfThought->entities/DeepSeekR1:EXTRACTED,,,entities/DeepSeekR1,EXTRACTED
#555555,1.0,concepts/ChainOfThought,concepts/ChainOfThought->entities/QwQ:EXTRACTED,,,entities/QwQ,EXTRACTED
#555555,1.0,concepts/ConfigurationManagement,concepts/ConfigurationManagement->sources/task-scheduler-and-infrastructure:EXTRACTED,,,sources/task-scheduler-and-infrastructure,EXTRACTED
#555555,1.0,concepts/ConfigurationManagement,concepts/ConfigurationManagement->entities/王信杰:EXTRACTED,,,entities/王信杰,EXTRACTED
#555555,1.0,concepts/ConfigurationManagement,concepts/ConfigurationManagement->entities/能源大数据平台:EXTRACTED,,,entities/能源大数据平台,EXTRACTED
#555555,1.0,concepts/ConfigurationManagement,concepts/ConfigurationManagement->entities/Redis:EXTRACTED,,,entities/Redis,EXTRACTED
#555555,1.0,concepts/ConfigurationManagement,concepts/ConfigurationManagement->entities/MainFundSelection:EXTRACTED,,,entities/MainFundSelection,EXTRACTED
#555555,1.0,concepts/ConfigurationManagement,concepts/ConfigurationManagement->entities/Tushare:EXTRACTED,,,entities/Tushare,EXTRACTED
#555555,1.0,concepts/ConvertibleBondArbitrage,concepts/ConvertibleBondArbitrage->concepts/StatisticalArbitrage:EXTRACTED,,,concepts/StatisticalArbitrage,EXTRACTED
#555555,1.0,concepts/ConvertibleBondArbitrage,concepts/ConvertibleBondArbitrage->entities/StatisticalArbitrage:EXTRACTED,,,entities/StatisticalArbitrage,EXTRACTED
#555555,1.0,concepts/ConvertibleBondArbitrage,concepts/ConvertibleBondArbitrage->concepts/EventDriven:EXTRACTED,,,concepts/EventDriven,EXTRACTED
#555555,1.0,concepts/ConvertibleBondArbitrage,concepts/ConvertibleBondArbitrage->entities/EventDriven:EXTRACTED,,,entities/EventDriven,EXTRACTED
#555555,1.0,concepts/ConvertibleBondArbitrage,concepts/ConvertibleBondArbitrage->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/DataPipeline,concepts/DataPipeline->sources/main-fund-selection-system:EXTRACTED,,,sources/main-fund-selection-system,EXTRACTED
#555555,1.0,concepts/DataPipeline,concepts/DataPipeline->entities/WencaiAPI:EXTRACTED,,,entities/WencaiAPI,EXTRACTED
#555555,1.0,concepts/DataPipeline,concepts/DataPipeline->entities/Tushare:EXTRACTED,,,entities/Tushare,EXTRACTED
#555555,1.0,concepts/DataPipeline,concepts/DataPipeline->entities/TechnicalAnalysis:EXTRACTED,,,entities/TechnicalAnalysis,EXTRACTED
#555555,1.0,concepts/DecisionCardValidation,concepts/DecisionCardValidation->sources/ai-intelligent-analysis-system:EXTRACTED,,,sources/ai-intelligent-analysis-system,EXTRACTED
#555555,1.0,concepts/DecisionCardValidation,concepts/DecisionCardValidation->concepts/ThreeStageAnalysisPipeline:EXTRACTED,,,concepts/ThreeStageAnalysisPipeline,EXTRACTED
#555555,1.0,concepts/DecisionCardValidation,concepts/DecisionCardValidation->concepts/MultiAgentCoordinationArchitecture:EXTRACTED,,,concepts/MultiAgentCoordinationArchitecture,EXTRACTED
#555555,1.0,concepts/DecisionCardValidation,concepts/DecisionCardValidation->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/EnterpriseBlockchain,concepts/EnterpriseBlockchain->entities/Bitcoin:EXTRACTED,,,entities/Bitcoin,EXTRACTED
#555555,1.0,concepts/EnterpriseBlockchain,concepts/EnterpriseBlockchain->entities/Ethereum:EXTRACTED,,,entities/Ethereum,EXTRACTED
#555555,1.0,concepts/EnterpriseBlockchain,concepts/EnterpriseBlockchain->entities/HyperledgerFabric:EXTRACTED,,,entities/HyperledgerFabric,EXTRACTED
#555555,1.0,concepts/EnterpriseBlockchain,concepts/EnterpriseBlockchain->entities/慧公寓管理系统:EXTRACTED,,,entities/慧公寓管理系统,EXTRACTED
#555555,1.0,concepts/EnterpriseBlockchain,concepts/EnterpriseBlockchain->entities/ZKP:EXTRACTED,,,entities/ZKP,EXTRACTED
#555555,1.0,concepts/EventDriven,concepts/EventDriven->concepts/StatisticalArbitrage:EXTRACTED,,,concepts/StatisticalArbitrage,EXTRACTED
#555555,1.0,concepts/EventDriven,concepts/EventDriven->entities/StatisticalArbitrage:EXTRACTED,,,entities/StatisticalArbitrage,EXTRACTED
#555555,1.0,concepts/EventDriven,concepts/EventDriven->concepts/ConvertibleBondArbitrage:EXTRACTED,,,concepts/ConvertibleBondArbitrage,EXTRACTED
#555555,1.0,concepts/EventDriven,concepts/EventDriven->entities/ConvertibleBondArbitrage:EXTRACTED,,,entities/ConvertibleBondArbitrage,EXTRACTED
#555555,1.0,concepts/EventDriven,concepts/EventDriven->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/FeatureFlagDeadCodeElimination,concepts/FeatureFlagDeadCodeElimination->entities/Latte:EXTRACTED,,,entities/Latte,EXTRACTED
#555555,1.0,concepts/FeatureFlagDeadCodeElimination,concepts/FeatureFlagDeadCodeElimination->entities/Bun:EXTRACTED,,,entities/Bun,EXTRACTED
#555555,1.0,concepts/FourSourceDegradationChain,concepts/FourSourceDegradationChain->entities/板块策略与大盘分析:EXTRACTED,,,entities/板块策略与大盘分析,EXTRACTED
#555555,1.0,concepts/FourSourceDegradationChain,concepts/FourSourceDegradationChain->entities/MainFundSelection:EXTRACTED,,,entities/MainFundSelection,EXTRACTED
#555555,1.0,concepts/FourSourceDegradationChain,concepts/FourSourceDegradationChain->concepts/DataPipeline:EXTRACTED,,,concepts/DataPipeline,EXTRACTED
#555555,1.0,concepts/FourSourceDegradationChain,concepts/FourSourceDegradationChain->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/FourSourceDegradationChain,concepts/FourSourceDegradationChain->entities/A股市场:EXTRACTED,,,entities/A股市场,EXTRACTED
#555555,1.0,concepts/GrowthStrategy,concepts/GrowthStrategy->concepts/ValueStrategy:EXTRACTED,,,concepts/ValueStrategy,EXTRACTED
#555555,1.0,concepts/GrowthStrategy,concepts/GrowthStrategy->entities/ValueStrategy:EXTRACTED,,,entities/ValueStrategy,EXTRACTED
#555555,1.0,concepts/GrowthStrategy,concepts/GrowthStrategy->concepts/QualityStrategy:EXTRACTED,,,concepts/QualityStrategy,EXTRACTED
#555555,1.0,concepts/GrowthStrategy,concepts/GrowthStrategy->entities/QualityStrategy:EXTRACTED,,,entities/QualityStrategy,EXTRACTED
#555555,1.0,concepts/GrowthStrategy,concepts/GrowthStrategy->concepts/MultiFactorSelection:EXTRACTED,,,concepts/MultiFactorSelection,EXTRACTED
#555555,1.0,concepts/GrowthStrategy,concepts/GrowthStrategy->entities/MultiFactorSelection:EXTRACTED,,,entities/MultiFactorSelection,EXTRACTED
#555555,1.0,concepts/HighDividendLowVol,concepts/HighDividendLowVol->concepts/ValueStrategy:EXTRACTED,,,concepts/ValueStrategy,EXTRACTED
#555555,1.0,concepts/HighDividendLowVol,concepts/HighDividendLowVol->entities/ValueStrategy:EXTRACTED,,,entities/ValueStrategy,EXTRACTED
#555555,1.0,concepts/HighDividendLowVol,concepts/HighDividendLowVol->concepts/QualityStrategy:EXTRACTED,,,concepts/QualityStrategy,EXTRACTED
#555555,1.0,concepts/HighDividendLowVol,concepts/HighDividendLowVol->entities/QualityStrategy:EXTRACTED,,,entities/QualityStrategy,EXTRACTED
#555555,1.0,concepts/HighDividendLowVol,concepts/HighDividendLowVol->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/o1:EXTRACTED,,,entities/o1,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/DeepSeekR1:EXTRACTED,,,entities/DeepSeekR1,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/QwQ:EXTRACTED,,,entities/QwQ,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/Gemini2.0FlashThinking:EXTRACTED,,,entities/Gemini2.0FlashThinking,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->concepts/ChainOfThought:EXTRACTED,,,concepts/ChainOfThought,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/ScalingLaws:EXTRACTED,,,entities/ScalingLaws,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/Qwen:EXTRACTED,,,entities/Qwen,EXTRACTED
#555555,1.0,concepts/InferenceScalingReasoning,concepts/InferenceScalingReasoning->entities/SimonWillison:EXTRACTED,,,entities/SimonWillison,EXTRACTED
#555555,1.0,concepts/MarketMapTreemap,concepts/MarketMapTreemap->entities/板块策略与大盘分析:EXTRACTED,,,entities/板块策略与大盘分析,EXTRACTED
#555555,1.0,concepts/MarketMapTreemap,concepts/MarketMapTreemap->concepts/DataPipeline:EXTRACTED,,,concepts/DataPipeline,EXTRACTED
#555555,1.0,concepts/MarketMapTreemap,concepts/MarketMapTreemap->entities/A股市场:EXTRACTED,,,entities/A股市场,EXTRACTED
#555555,1.0,concepts/MeanReversion,concepts/MeanReversion->concepts/TrendTracking:EXTRACTED,,,concepts/TrendTracking,EXTRACTED
#555555,1.0,concepts/MeanReversion,concepts/MeanReversion->entities/TrendTracking:EXTRACTED,,,entities/TrendTracking,EXTRACTED
#555555,1.0,concepts/MeanReversion,concepts/MeanReversion->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/MeanReversion,concepts/MeanReversion->entities/TechnicalAnalysis:EXTRACTED,,,entities/TechnicalAnalysis,EXTRACTED
#555555,1.0,concepts/MembershipTiering,concepts/MembershipTiering->sources/subscription-payment-system:EXTRACTED,,,sources/subscription-payment-system,EXTRACTED
#555555,1.0,concepts/MembershipTiering,concepts/MembershipTiering->entities/SubscriptionPlan:EXTRACTED,,,entities/SubscriptionPlan,EXTRACTED
#555555,1.0,concepts/MembershipTiering,concepts/MembershipTiering->entities/UserSubscription:EXTRACTED,,,entities/UserSubscription,EXTRACTED
#555555,1.0,concepts/MomentumStrategy,concepts/MomentumStrategy->concepts/TrendTracking:EXTRACTED,,,concepts/TrendTracking,EXTRACTED
#555555,1.0,concepts/MomentumStrategy,concepts/MomentumStrategy->entities/TrendTracking:EXTRACTED,,,entities/TrendTracking,EXTRACTED
#555555,1.0,concepts/MomentumStrategy,concepts/MomentumStrategy->sources/main-fund-selection-system:EXTRACTED,,,sources/main-fund-selection-system,EXTRACTED
#555555,1.0,concepts/MomentumStrategy,concepts/MomentumStrategy->concepts/VolumePriceBreakout:EXTRACTED,,,concepts/VolumePriceBreakout,EXTRACTED
#555555,1.0,concepts/MomentumStrategy,concepts/MomentumStrategy->entities/VolumePriceBreakout:EXTRACTED,,,entities/VolumePriceBreakout,EXTRACTED
#555555,1.0,concepts/MoneyFlowStrategy,concepts/MoneyFlowStrategy->sources/main-fund-selection-system:EXTRACTED,,,sources/main-fund-selection-system,EXTRACTED
#555555,1.0,concepts/MoneyFlowStrategy,concepts/MoneyFlowStrategy->concepts/SectorRotation:EXTRACTED,,,concepts/SectorRotation,EXTRACTED
#555555,1.0,concepts/MoneyFlowStrategy,concepts/MoneyFlowStrategy->entities/SectorRotation:EXTRACTED,,,entities/SectorRotation,EXTRACTED
#555555,1.0,concepts/MoneyFlowStrategy,concepts/MoneyFlowStrategy->concepts/QuantitativeAnalysis:EXTRACTED,,,concepts/QuantitativeAnalysis,EXTRACTED
#555555,1.0,concepts/MoneyFlowStrategy,concepts/MoneyFlowStrategy->entities/QuantitativeAnalysis:EXTRACTED,,,entities/QuantitativeAnalysis,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->sources/ai-intelligent-analysis-system:EXTRACTED,,,sources/ai-intelligent-analysis-system,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/TechnicalAnalystAgent:EXTRACTED,,,entities/TechnicalAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/FundamentalAnalystAgent:EXTRACTED,,,entities/FundamentalAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/FundFlowAnalystAgent:EXTRACTED,,,entities/FundFlowAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/RiskAnalystAgent:EXTRACTED,,,entities/RiskAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/NewsAnalystAgent:EXTRACTED,,,entities/NewsAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/SentimentAnalystAgent:EXTRACTED,,,entities/SentimentAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/MacroAnalystAgent:EXTRACTED,,,entities/MacroAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/QuantitativeAnalystAgent:EXTRACTED,,,entities/QuantitativeAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->entities/EventAnalystAgent:EXTRACTED,,,entities/EventAnalystAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->concepts/AIAgent:EXTRACTED,,,concepts/AIAgent,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->concepts/AIMultiAgentStockAnalysis:EXTRACTED,,,concepts/AIMultiAgentStockAnalysis,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->concepts/DataPipeline:EXTRACTED,,,concepts/DataPipeline,EXTRACTED
#555555,1.0,concepts/MultiAgentCoordinationArchitecture,concepts/MultiAgentCoordinationArchitecture->concepts/RiskManagement:EXTRACTED,,,concepts/RiskManagement,EXTRACTED
#555555,1.0,concepts/MultiFactorSelection,concepts/MultiFactorSelection->sources/main-fund-selection-system:EXTRACTED,,,sources/main-fund-selection-system,EXTRACTED
#555555,1.0,concepts/MultiFactorSelection,concepts/MultiFactorSelection->concepts/QuantitativeAnalysis:EXTRACTED,,,concepts/QuantitativeAnalysis,EXTRACTED
#555555,1.0,concepts/MultiFactorSelection,concepts/MultiFactorSelection->entities/QuantitativeAnalysis:EXTRACTED,,,entities/QuantitativeAnalysis,EXTRACTED
#555555,1.0,concepts/MultiFactorSelection,concepts/MultiFactorSelection->concepts/AIAgent:EXTRACTED,,,concepts/AIAgent,EXTRACTED
#555555,1.0,concepts/NeuralNetworks,concepts/NeuralNetworks->sources/final-iteration-test:EXTRACTED,,,sources/final-iteration-test,EXTRACTED
#555555,1.0,concepts/NeuralNetworks,concepts/NeuralNetworks->concepts/Transformer:EXTRACTED,,,concepts/Transformer,EXTRACTED
#555555,1.0,concepts/NeuralNetworks,concepts/NeuralNetworks->entities/DeepLearning:EXTRACTED,,,entities/DeepLearning,EXTRACTED
#555555,1.0,concepts/NewsAggregration,concepts/NewsAggregration->entities/新闻订阅系统:EXTRACTED,,,entities/新闻订阅系统,EXTRACTED
#555555,1.0,concepts/NotificationChannels,concepts/NotificationChannels->entities/NotificationService:EXTRACTED,,,entities/NotificationService,EXTRACTED
#555555,1.0,concepts/NotificationChannels,concepts/NotificationChannels->concepts/EventDriven:EXTRACTED,,,concepts/EventDriven,EXTRACTED
#555555,1.0,concepts/NotificationChannels,concepts/NotificationChannels->entities/EventDriven:EXTRACTED,,,entities/EventDriven,EXTRACTED
#555555,1.0,concepts/NotificationChannels,concepts/NotificationChannels->entities/MainFundSelection:EXTRACTED,,,entities/MainFundSelection,EXTRACTED
#555555,1.0,concepts/NotificationPersistence,concepts/NotificationPersistence->concepts/DataPipeline:EXTRACTED,,,concepts/DataPipeline,EXTRACTED
#555555,1.0,concepts/NotificationPersistence,concepts/NotificationPersistence->entities/NotificationService:EXTRACTED,,,entities/NotificationService,EXTRACTED
#555555,1.0,concepts/PaperTrading,concepts/PaperTrading->sources/backtest-engine:EXTRACTED,,,sources/backtest-engine,EXTRACTED
#555555,1.0,concepts/PaymentFactoryPattern,concepts/PaymentFactoryPattern->sources/subscription-payment-system:EXTRACTED,,,sources/subscription-payment-system,EXTRACTED
#555555,1.0,concepts/PaymentFactoryPattern,concepts/PaymentFactoryPattern->entities/PaymentFactory:EXTRACTED,,,entities/PaymentFactory,EXTRACTED
#555555,1.0,concepts/PaymentFactoryPattern,concepts/PaymentFactoryPattern->entities/AlipayProvider:EXTRACTED,,,entities/AlipayProvider,EXTRACTED
#555555,1.0,concepts/PaymentFactoryPattern,concepts/PaymentFactoryPattern->entities/BasePaymentProvider:EXTRACTED,,,entities/BasePaymentProvider,EXTRACTED
#555555,1.0,concepts/PlatformSubpackagePublishing,concepts/PlatformSubpackagePublishing->entities/Latte:EXTRACTED,,,entities/Latte,EXTRACTED
#555555,1.0,concepts/PlatformSubpackagePublishing,concepts/PlatformSubpackagePublishing->entities/Bun:EXTRACTED,,,entities/Bun,EXTRACTED
#555555,1.0,concepts/QualityStrategy,concepts/QualityStrategy->concepts/ValueStrategy:EXTRACTED,,,concepts/ValueStrategy,EXTRACTED
#555555,1.0,concepts/QualityStrategy,concepts/QualityStrategy->entities/ValueStrategy:EXTRACTED,,,entities/ValueStrategy,EXTRACTED
#555555,1.0,concepts/QualityStrategy,concepts/QualityStrategy->concepts/GrowthStrategy:EXTRACTED,,,concepts/GrowthStrategy,EXTRACTED
#555555,1.0,concepts/QualityStrategy,concepts/QualityStrategy->entities/GrowthStrategy:EXTRACTED,,,entities/GrowthStrategy,EXTRACTED
#555555,1.0,concepts/QualityStrategy,concepts/QualityStrategy->concepts/HighDividendLowVol:EXTRACTED,,,concepts/HighDividendLowVol,EXTRACTED
